px,py,nx,ny,minutes,seconds,millis,total_millis
1,1,1024,1024,0,24,76,24076
1,1,1024,1024,0,28,74,28074
1,1,1024,1024,0,28,35,28035
1,1,1024,1024,0,23,35,23035
1,1,1024,1024,0,26,10,26010
1,2,1024,512,0,24,08,24008
1,2,1024,512,0,27,33,27033
1,2,1024,512,0,28,66,28066
1,2,1024,512,0,22,13,22013
1,2,1024,512,0,25,45,25045
2,1,512,1024,0,21,52,21052
2,1,512,1024,0,34,36,34036
2,1,512,1024,0,17,51,17051
2,1,512,1024,0,18,93,18093
2,1,512,1024,0,19,38,19038
2,2,512,512,0,16,81,16081
2,2,512,512,0,17,13,17013
2,2,512,512,0,17,14,17014
2,2,512,512,0,17,41,17041
2,2,512,512,0,17,81,17081
4,1,256,1024,0,13,09,13009
4,1,256,1024,0,13,68,13068
4,1,256,1024,0,13,33,13033
4,1,256,1024,0,12,99,12099
4,1,256,1024,0,13,18,13018
1,4,1024,256,0,22,47,22047
1,4,1024,256,0,23,90,23090
1,4,1024,256,0,23,18,23018
1,4,1024,256,0,22,67,22067
1,4,1024,256,0,25,45,25045
1,1,2048,2048,1,50,34,110034
1,1,2048,2048,1,47,53,107053
1,1,2048,2048,1,45,01,105001
1,1,2048,2048,1,44,75,104075
1,1,2048,2048,1,47,57,107057
1,2,2048,1024,1,51,29,111029
1,2,2048,1024,1,36,86,96086
1,2,2048,1024,1,47,37,107037
1,2,2048,1024,2,05,06,125006
1,2,2048,1024,1,49,59,109059
2,1,1024,2048,1,14,77,74077
2,1,1024,2048,1,17,02,77002
2,1,1024,2048,2,00,35,120035
2,1,1024,2048,1,29,86,89086
2,1,1024,2048,1,20,56,80056
2,2,1024,1024,1,19,98,79098
2,2,1024,1024,1,26,10,86010
2,2,1024,1024,1,20,19,80019
2,2,1024,1024,1,52,75,112075
2,2,1024,1024,1,19,35,79035
4,1,512,2048,0,54,61,54061
4,1,512,2048,0,54,63,54063
4,1,512,2048,0,56,40,56040
4,1,512,2048,1,02,15,62015
4,1,512,2048,1,21,51,81051
1,4,2048,512,2,37,52,157052
1,4,2048,512,2,13,01,133001
1,4,2048,512,1,51,33,111033
1,4,2048,512,1,38,41,98041
1,4,2048,512,1,39,22,99022
1,1,4096,4096,7,44,27,464027
1,1,4096,4096,7,49,39,469039
1,1,4096,4096,7,44,79,464079
1,1,4096,4096,7,46,32,466032
1,1,4096,4096,7,50,71,470071
1,2,4096,2048,7,41,78,461078
1,2,4096,2048,7,40,40,460040
1,2,4096,2048,7,48,87,468087
1,2,4096,2048,8,35,69,515069
1,2,4096,2048,8,43,95,523095
2,1,2048,4096,6,01,46,361046
2,1,2048,4096,6,44,74,404074
2,1,2048,4096,6,30,05,390005
2,1,2048,4096,6,12,28,372028
2,1,2048,4096,5,36,79,336079
2,2,2048,2048,6,18,01,378001
2,2,2048,2048,6,21,40,381040
2,2,2048,2048,6,08,83,368083
2,2,2048,2048,6,09,34,369034
2,2,2048,2048,6,35,99,395099
4,1,1024,4096,4,42,82,282082
4,1,1024,4096,4,23,64,263064
4,1,1024,4096,4,36,05,276005
4,1,1024,4096,4,38,24,278024
4,1,1024,4096,4,12,11,252011
1,4,4096,1024,9,10,24,550024
1,4,4096,1024,8,36,72,516072
1,4,4096,1024,8,46,58,526058
1,4,4096,1024,9,24,63,564063
1,4,4096,1024,9,27,26,567026
