px;py;nx;ny;threads;total_millis;avg_millis
1;1;1024;1024;1;22002;22010
1;1;1024;1024;1;22004;22010
1;1;1024;1024;1;22025;22010
1;1;1024;1024;1;22013;22010
1;1;1024;1024;1;22004;22010
;;;;;;
1;2;1024;512;2;12077;12062
1;2;1024;512;2;12046;12062
1;2;1024;512;2;12071;12062
1;2;1024;512;2;12093;12062
1;2;1024;512;2;12021;12062
;;;;;;
2;1;512;1024;2;12052;12452
2;1;512;1024;2;12048;12452
2;1;512;1024;2;12099;12452
2;1;512;1024;2;13016;12452
2;1;512;1024;2;13043;12452
;;;;;;
2;2;512;512;4;10097;10263
2;2;512;512;4;10091;10263
2;2;512;512;4;10056;10263
2;2;512;512;4;11040;10263
2;2;512;512;4;10029;10263
;;;;;;
4;1;256;1024;4;10085;14257
4;1;256;1024;4;17088;14257
4;1;256;1024;4;17019;14257
4;1;256;1024;4;16057;14257
4;1;256;1024;4;11034;14257
;;;;;;
1;4;1024;256;4;12020;12847
1;4;1024;256;4;14016;12847
1;4;1024;256;4;13035;12847
1;4;1024;256;4;12095;12847
1;4;1024;256;4;13069;12847
;;;;;;
1;1;2048;2048;1;85038;85050
1;1;2048;2048;1;85037;85050
1;1;2048;2048;1;84093;85050
1;1;2048;2048;1;85052;85050
1;1;2048;2048;1;86030;85050
;;;;;;
1;2;2048;1024;2;43063;43635
1;2;2048;1024;2;43038;43635
1;2;2048;1024;2;44007;43635
1;2;2048;1024;2;44009;43635
1;2;2048;1024;2;44058;43635
;;;;;;
2;1;1024;2048;2;44014;45633
2;1;1024;2048;2;44037;45633
2;1;1024;2048;2;44061;45633
2;1;1024;2048;2;49029;45633
2;1;1024;2048;2;47026;45633
;;;;;;
2;2;1024;1024;4;35086;37637
2;2;1024;1024;4;40045;37637
2;2;1024;1024;4;32016;37637
2;2;1024;1024;4;41012;37637
2;2;1024;1024;4;40026;37637
;;;;;;
4;1;512;2048;4;33095;35269
4;1;512;2048;4;40053;35269
4;1;512;2048;4;38088;35269
4;1;512;2048;4;34027;35269
4;1;512;2048;4;31081;35269
;;;;;;
1;4;2048;512;4;50044;54851
1;4;2048;512;4;52053;54851
1;4;2048;512;4;51068;54851
1;4;2048;512;4;55072;54851
1;4;2048;512;4;66019;54851
;;;;;;
1;1;4096;4096;1;389077;429866
1;1;4096;4096;1;396050;429866
1;1;4096;4096;1;409066;429866
1;1;4096;4096;1;592084;429866
1;1;4096;4096;1;363054;429866
;;;;;;
1;2;4096;2048;2;181058;183055
1;2;4096;2048;2;180088;183055
1;2;4096;2048;2;187003;183055
1;2;4096;2048;2;182072;183055
1;2;4096;2048;2;185053;183055
;;;;;;
2;1;2048;4096;2;190025;184060
2;1;2048;4096;2;192080;184060
2;1;2048;4096;2;180035;184060
2;1;2048;4096;2;180090;184060
2;1;2048;4096;2;178072;184060
;;;;;;
2;2;2048;2048;4;96090;110272
2;2;2048;2048;4;108098;110272
2;2;2048;2048;4;113074;110272
2;2;2048;2048;4;115044;110272
2;2;2048;2048;4;119055;110272
;;;;;;
4;1;1024;4096;4;122081;114867
4;1;1024;4096;4;113002;114867
4;1;1024;4096;4;112071;114867
4;1;1024;4096;4;114087;114867
4;1;1024;4096;4;113096;114867
;;;;;;
1;4;4096;1024;4;164062;165041
1;4;4096;1024;4;165008;165041
1;4;4096;1024;4;165031;165041
1;4;4096;1024;4;163072;165041
1;4;4096;1024;4;168033;165041
